Province,Total
Ha Noi,"33134,7"
Vinh Phuc,"4527,1"
Bac Ninh,"17289,0"
Quang Ninh,"6231,3"
Hai Duong,"7758,3"
Hai Phong,"17672,2"
Hung Yen,"4448,9"
Thai Binh,"647,2"
Ha Nam,"2801,5"
Nam Dinh,"3281,6"
Ninh Binh,"1250,2"
Ha Giang,"6,6"
Cao Bang,"60,2"
Bac Kan,"13,2"
Tuyen Quang,"186,8"
Lao Cai,"580,6"
Yen Bai,"387,6"
Thai Nguyen,"7736,2"
Lang Son,"237,2"
Bac Giang,"4840,3"
Phu Tho,"1271,0"
Dien Bien,"3,0"
Lai Chau,"1,5"
Son La,"135,7"
Hoa Binh,"717,6"
Thanh Hoa,"13855,7"
Nghe An,"1845,6"
Ha Tinh,"11714,6"
Quang Binh,"766,8"
Quang Tri,"63,6"
Thua Thien - Hue,"3535,9"
Da Nang,"5145,5"
Quang Nam,"6037,2"
Quang Ngai,"1755,9"
Binh Dinh,"806,3"
Phu Yen,"1773,2"
Khanh Hoa,"4243,0"
Ninh Thuan,"1693,1"
Binh Thuan,"3571,7"
Kon Tum,"88,3"
Gia Lai,"12,2"
Dak Lak,"153,5"
Dak Nong,"144,4"
Lam Dong,"510,8"
Binh Phuoc,"2388,7"
Tay Ninh,"5799,8"
Binh Duong,"31758,5"
Dong Nai,"28658,8"
Ba Ria - Vung Tau,"29882,3"
TP. Ho Chi Minh,"45194,3"
Long An,"7396,4"
Tien Giang,"2192,0"
Ben Tre,"1053,6"
Tra Vinh,"3231,2"
Vinh Long,"604,8"
Dong Thap,"157,2"
An Giang,"208,1"
Kien Giang,"4724,5"
Can Tho,"693,0"
Hau Giang,"450,1"
Soc Trang,"240,6"
Bac Lieu,"439,9"
Ca Mau,"70,2"
